Date;Open;High;Low;Close;Adj Close;Volume
20/05/2019;29.399864;29.433695;28.040089;29.305387;29.305387;457260435
21/05/2019;29.309580;32.428185;28.351641;32.007378;32.007378;742382920
22/05/2019;32.028797;32.217621;30.978563;31.422043;31.422043;534057314
23/05/2019;31.364128;32.202095;30.446550;31.515736;31.515736;536619660
24/05/2019;31.533712;34.348232;31.287281;33.841393;33.841393;648459287
25/05/2019;33.841393;35.326099;33.558582;35.053101;35.053101;637380073
26/05/2019;35.046131;35.082748;33.227749;34.104851;34.104851;611208604
27/05/2019;34.059341;35.292072;33.274570;33.680679;33.680679;598117911
28/05/2019;33.712990;34.639824;32.891926;33.360947;33.360947;516116377
29/05/2019;33.346935;33.882469;31.908852;33.744354;33.744354;564894524
30/05/2019;33.780003;35.504501;31.484688;32.291065;32.291065;517229671
31/05/2019;32.291065;32.752518;31.383709;32.748165;32.748165;503989734
01/06/2019;32.747639;33.761368;32.535770;33.013649;33.013649;572703757
02/06/2019;33.013649;33.763313;32.626389;33.174049;33.174049;461362658
03/06/2019;33.187714;33.197384;31.196793;31.391956;31.391956;417996141
04/06/2019;31.376373;31.418369;29.183624;29.380625;29.380625;421064886
05/06/2019;29.415113;31.184685;29.259869;31.006264;31.006264;464095694
06/06/2019;30.992432;32.120739;30.220802;31.480104;31.480104;416584078
07/06/2019;31.472219;32.184448;31.336231;31.587482;31.587482;342881981
08/06/2019;31.606207;32.286797;31.431738;32.066322;32.066322;428041268
09/06/2019;32.063076;32.149796;30.492479;30.558287;30.558287;336574887
10/06/2019;30.546289;32.131367;30.186640;32.064728;32.064728;459590416
11/06/2019;32.072163;32.323784;31.395395;32.262657;32.262657;393897651
12/06/2019;32.289455;34.765511;32.186485;34.686386;34.686386;547786335
13/06/2019;34.601311;35.999355;34.349529;35.143143;35.143143;512885462
14/06/2019;35.130955;35.267231;30.942671;33.076382;33.076382;737850145
15/06/2019;33.059006;33.962418;32.367481;32.825863;32.825863;489033316
16/06/2019;32.825863;33.375111;32.116680;32.402725;32.402725;389404410
17/06/2019;32.389389;34.197742;32.381485;33.917877;33.917877;439337220
18/06/2019;33.927719;35.106651;33.878078;34.339508;34.339508;484975596
19/06/2019;34.362247;35.676552;34.362247;35.287197;35.287197;509791358
20/06/2019;35.303825;36.985744;34.512856;36.726063;36.726063;636578809
21/06/2019;36.693123;38.894684;36.335102;38.815918;38.815918;438604247
22/06/2019;38.812336;39.566536;37.544617;37.799755;37.799755;428828573
23/06/2019;37.832153;38.338207;37.028694;37.134727;37.134727;369969675
24/06/2019;37.134727;37.628246;35.944275;37.433640;37.433640;329001838
25/06/2019;37.393047;37.393047;35.768604;36.008289;36.008289;293163090
26/06/2019;36.008289;37.732262;34.347664;35.698311;35.698311;444226052
27/06/2019;35.726513;35.827217;32.763252;33.823589;33.823589;375392572
28/06/2019;33.865391;34.774651;33.375317;34.549740;34.549740;337534352
29/06/2019;34.586788;35.528324;33.284142;35.360107;35.360107;369705514
30/06/2019;35.398891;35.398891;32.442482;32.442482;32.442482;286632252
01/07/2019;32.442482;33.934074;31.689184;32.922298;32.922298;290190904
02/07/2019;32.924438;33.460800;30.877823;32.009235;32.009235;348029977
03/07/2019;32.034126;33.087204;31.798889;32.667500;32.667500;248895676
04/07/2019;32.691105;34.313126;32.375900;32.893326;32.893326;348186707
05/07/2019;32.999283;33.640659;32.445293;32.713165;32.713165;232575484
06/07/2019;32.711334;33.319241;32.479439;32.530941;32.530941;187247411
07/07/2019;32.521633;33.492958;32.450661;33.241062;33.241062;198859381
08/07/2019;33.263500;34.250313;33.097660;33.469681;33.469681;257698795
09/07/2019;33.471279;33.951302;32.533199;32.707649;32.707649;210904382
10/07/2019;32.703178;32.974998;30.956919;31.477377;31.477377;270511687
11/07/2019;31.503983;31.799553;28.913054;29.641972;29.641972;251161946
12/07/2019;29.653322;32.213291;29.340874;31.694330;31.694330;417842730
